Channel #,Time(s),SPR pixel position,SPR angle,Refractive Index
1,933.915,62.8235904,69.4232480001556,1.33531721348097
1,935.663,62.8362752,69.4224594133982,1.33531087126857
1,937.41,62.82848,69.4229440230295,1.3353147687722
1,939.048,62.8096512,69.4241145819637,1.33532418269066
1,942.542,62.803136,69.4245196276156,1.3353274400421
1,944.289,62.7982016,69.4248263977635,1.33532990702581
1,946.037,62.8000448,69.4247118064002,1.33532898550943
1,947.784,62.8082176,69.4242037076928,1.33532489943958
1,949.422,62.7963136,69.4249437745555,1.33533085093666
1,952.916,62.8064768,69.4243119319667,1.33532576977481
1,954.663,62.7987776,69.4247905879394,1.3353296190523
1,956.411,62.7972224,69.4248872745123,1.33533039658001
1,958.158,62.8063232,69.4243214811765,1.33532584656896
1,959.796,62.7982592,69.4248228167801,1.33532987822847
1,963.29,62.8147776,69.4237958789655,1.33532161965662
1,965.038,62.788928,69.4254029388095,1.33533454335393
1,966.785,62.811456,69.4240023792211,1.33532328035206
1,968.532,62.8041088,69.4244591491164,1.33532695368189
1,970.17,62.7897024,69.4253547940426,1.3353341561966
1,971.917,62.7847616,69.425661966262,1.33533662631414
1,973.664,62.7873088,69.4255036052624,1.33533535286279
1,975.412,62.8016896,69.4246095497048,1.3353281631812
1,977.159,62.795808,69.4249752077007,1.33533110371218
1,978.906,62.799616,69.4247384647885,1.33532919989027
1,980.544,62.7933504,69.4251279968891,1.3353323323896
1,982.307,62.7874048,69.425497636891,1.33533530486826
1,984.054,62.774016,69.4263300313632,1.33534199841618
1,985.801,62.7623296,69.42705659524,1.33534784072702
1,987.548,62.76192,69.4270820609428,1.3353480454934
1,989.186,62.7583936,69.4273013051652,1.33534980839704
1,992.681,62.7671552,69.4267565782254,1.33534542831061
1,994.428,62.8715392,69.4202671795971,1.33529323895102
1,996.175,63.1385664,69.403669620433,1.33515968288996
1,997.923,64.772128,69.3022305079131,1.33434110163901
1,999.67,65.8969408,69.2324809206226,1.33377591584953
1,1001.0308,69.3398272,69.0194834167734,1.33203816143704
1,1003.0055,71.0618112,68.9132315577439,1.33116459779411
1,1004.0802,74.9089984,68.6765233162265,1.32920228486706
