Channel #,Time(s),SPR pixel position,SPR angle,SPR reflectance value,Refractive Index,SPR Curve Data
1,127827,70.7283264,68.9337940286424,26.9841408,1.33133400463857,¡¡¡ ¡¡¢£¤¤¡ ¡¤£¡ž—’??ŽŽŽ?????‘’?ˆ‰???Ž‰†ƒƒ†‡‚}zyyyzxrpmmkkkihea]\]`^ZUSOMJJHFDDBA@@AAFHLR[ab`[\ajsx{|€ƒ„ˆŽ”™››œœž ¥©«ª¦Ÿ?Ÿ£¦¦¤¤¤
1,129574,70.75632,68.9320676906431,27.0072192,1.33131978842177,¡¡¡ ¡¡¢¢¤¤¡Ÿ ¤£¡ž—’??Ž?Ž?????‘’Œˆ‰Ž??Ž‰…ƒ‚…†‚}zyyxyxrommkkjihea]\]_^YTROMKJHFDCBA?@@AFHKRZaa_Z\aisx{|€‚„ˆ?”˜››œœž¡¥©«ª¦ ?ž£¦¦¤¤¤
1,133069,70.5681664,68.9436718894794,26.9685984,1.33141532503554,¡¡¡ ¡ ¢¢¤¤¡Ÿ¡¤£¡Ÿ˜“‘?ŽŽ??‘‘‘?‘’?ˆŠŽ?‘ŽŠ†ƒƒ††ƒ~{zyyzxsommkkjiifa][]_^YTROMJJHECCBB?@ABGILRZab`[]cluz}~‚…†‰?•šœœ?žŸ¡¦©«ª¦ ?Ÿ¤§¦¤¤¤
1,134816,70.5205056,68.946611679409,26.9550272,1.33143951964066,¢¡¡ ¡¡¢¢¤¤¡Ÿ ¤£¢Ÿ˜“’??Ž?‘?‘‘?’’?ˆŠ?‘‘?Š†ƒƒ†‡ƒ{zyy{ysommlkkjifb\[]_^ZTSOMKKIECDBA@@ABGILRZab`\]cluz}~‚…†Š?–šœœ?ž ¢¦©¬ª¦ ?Ÿ¤§¦¤¥¤
1,136563,70.6869184,68.9363477101885,26.9455776,1.33135503177276,¡¡¡Ÿ¡ ¢¢£¤¡Ÿ¡£¤¢Ÿ˜“’‘?Ž?‘‘’‘?’’?ˆŠ?‘‘?Š†„ƒ†‡ƒ|{zy{ytpmmllkjifb]\]`_ZUSPMKKHFDCBA?@@AFHKQYaa_[\bktz|}?„†‰?•šœ??žŸ¢¦©«ª¦ ?Ÿ¤¦¦¤¤¤
1,138201,70.7912064,68.9299163495412,26.9477088,1.33130207068989,¡¡¡ ¡¡¢¢££¡Ÿ¡¤¤¢ž˜“’‘???‘‘’‘?’’Ž‰Š?‘‘?‹‡„„‡‡ƒ||zz{yspmnllkjjgb]\]`_[USPMKKIFDDBB??@AFHKQY`a_[\bjty|}?„†‰Ž•šœœ??Ÿ¡¥©«ª¦ ?Ÿ¤¦¦¤¤¤
1,140026,70.69744,68.9356988201206,26.9464352,1.33134968902698,¡¡¡ ¡¡¢¢££¡Ÿ¡¤£¢ž˜“’‘???‘‘’’?’’Ž‰Š?‘‘?‹‡„„‡‡„|{zz{ytpnmllkjigb][]__ZUSOMKKHFDCBB??@AFHKQY`a_[\bkty|~‚…‡Š?•šœ??žŸ¡¥©«ª¦ ?Ÿ¤¦¦¤¥¤
1,141664,70.9654784,68.9191706597449,26.9449216,1.33121354520143,¡¡¡ ¡ ¢¢££¡Ÿ¡¤£¢Ÿ˜”’‘???‘‘“’‘’’Ž‰Š?‘‘?‹‡„„‡ˆ„€}{zz|ytpnnmlkjjgb]\]`_[USPNKKIFDCBA??@AEGJPX_`^Z\ajsx{}?„†‰Ž•™›œ??Ÿ¡¥©«ª¦ ?Ÿ¤¦¦¤¤£
1,143411,70.897216,68.9233795218827,26.94008,1.33124822425555,¡¡¡ ¡¡¢¢££¡Ÿ ¤¤¢Ÿ˜““‘???’’“’?’’Ž‰Š?‘‘?‹‡„„‡ˆ„€}{zz|ztpnnlmkjjgc]\]__ZUSPMKKIFDCBA??@AEGJPX_`_Z\ajsx{}‚…†‰?•™œœ?žŸ¡¥©«ª¦ ?Ÿ¤¦¦¤¥¤
1,145159,71.1203392,68.9096234799221,26.9402528,1.33113485478718,¡¡¡ ¡¡¢¢££¡Ÿ¡¤¤¢Ÿ˜““‘???’’“’‘’’Ž‰‹?‘’?Œ‡……‡ˆ…€}{{{|ztpnnmmljjhc^]^`_[USPNLKIFDCBA???@DGIOW^_^Y[`irwz|?„†ˆŽ”™›œœ?ž¡¥©«ª¦ ?Ÿ¤¦¦¤¤¤
